yc_id,cluster
"8,461,810",0
"13,470,034",0
"13,913,913",0
"7,010,207",1
"16,438,191",1
"1,128,506",1
"10,185,157",1
"12,602,673",1
"7,301,990",1
"5,752,751",1
"1,343,771",0
"10,138,370",1
"12,398,325",1
"2,491,639",1
"15,805,106",1
"17,353,933",0
"2,834,168",0
"10,883,258",1
"13,027,122",0
"13,430,012",1
"14,088,377",1
"3,711,007",0
"3,750,700",0
"7,467,858",1
"9,924,601",0
"1,492,240",1
"11,992,856",1
"14,080,665",1
"8,515,993",0
"8,811,807",0
"9,462,671",1
"9,816,306",0
"15,162,596",1
"3,673,831",1
"3,847,131",0
"5,380,062",0
"11,854,846",1
"3,354,951",1
"7,541,572",0
"9,821,915",0
"2,981,531",0
"9,069,372",0
"17,520,835",1
"16,216,127",1
"4,036,497",0
"1,170,583",1
"10,001,479",1
"15,776,052",0
"16,700,327",0
"2,828,599",1
"6,579,089",0
"9,462,776",1
"16,762,162",0
"11,016,237",1
"13,698,469",0
"5,048,675",1
"9,360,535",0
"12,197,991",0
"16,890,596",1
"3,671,047",0
"4,637,426",1
"5,768,340",0
"6,672,964",1
"9,171,269",1
"12,105,010",2
"10,001,489",0
"5,707,613",1
"9,733,512",0
"9,375,635",1
"12,212,463",1
"12,783,840",0
"1,065,933",1
"11,367,712",0
"13,974,250",0
"14,196,395",1
"14,277,933",1
"14,327,362",1
"3,669,614",1
"5,083,976",1
"5,702,375",0
"8,457,245",1
"17,520,953",1
"2,961,057",1
"6,481,983",0
"1,485,831",0
"11,359,050",1
"2,475,943",1
"9,536,704",1
"2,529,659",1
"3,017,320",1
"3,354,623",1
"4,216,477",0
"1,102,453",1
"15,576,906",1
"3,667,712",0
"8,499,169",1
"11,716,437",2
"14,215,074",1
"4,355,445",1
"12,315,581",0
"7,743,336",1
"4,573,535",0
"5,649,960",1
"16,094,918",1
"1,095,799",1
"10,174,395",0
"11,163,803",2
"12,567,641",1
"13,983,935",0
"16,645,129",1
"17,445,184",1
"15,931,523",0
"14,114,662",1
"2,765,160",1
"4,349,089",1
"7,010,169",0
"9,016,011",1
"15,162,563",1
"4,152,719",1
"6,697,476",1
"9,300,475",1
"17,443,108",1
"1,490,242",1
"13,932,250",1
"16,857,502",0
"9,720,068",0
"17,512,147",1
"7,641,961",1
"9,054,977",0
"12,989,924",1
"2,985,512",1
"5,629,870",1
"11,891,196",1
"16,645,523",0
"5,764,552",1
"8,339,814",0
"11,232,585",2
"2,717,411",1
"11,278,815",1
"13,397,360",1
"13,889,663",1
"8,010,896",1
"5,931,606",1
"6,987,370",1
"9,392,842",1
"15,371,066",0
"16,008,984",1
"3,930,405",0
"9,255,850",0
"2,836,075",1
"7,039,693",1
"9,858,897",0
"14,062,222",1
"13,548,811",1
"3,147,322",2
"4,957,624",0
"13,997,131",1
"2,538,852",0
"2,568,049",1
"3,330,459",1
"4,255,187",0
"9,303,209",1
"11,359,084",0
"13,127,797",1
"14,011,361",1
"6,707,528",1
"4,632,465",0
"7,764,435",2
"9,722,210",1
"3,341,643",2
"13,655,351",2
"13,759,739",0
"17,462,444",0
"6,670,786",1
"3,364,622",1
"13,744,092",0
"16,019,359",0
"7,521,985",1
"1,503,720",1
"10,179,316",1
"10,194,921",1
"10,728,318",0
"17,236,704",1
"2,903,878",1
"5,083,944",1
"5,178,756",1
"7,565,068",1
"10,179,306",0
"13,987,296",1
"15,650,595",1
"2,538,773",1
"3,324,118",0
"9,065,200",1
"11,276,660",1
"11,331,366",1
"15,383,222",0
"6,564,818",1
"12,076,149",1
"14,061,024",1
"7,493,706",1
"14,827,802",1
"11,294,277",1
"13,740,089",1
"8,984,087",1
"5,931,492",1
"1,301,869",2
"10,312,448",2
"12,524,026",1
"12,812,614",1
"16,903,099",0
"17,617,033",0
"8,466,496",1
"9,157,822",1
"7,548,570",1
"12,664,393",0
"9,788,193",1
"4,114,718",1
"12,149,425",1
"13,999,389",1
"13,341,131",1
